time,f_aligned
6270.5,731.9972677544637
6270.6,732.5182591580909
6270.7,732.4336147392472
6270.8,732.9542959830442
6270.9,732.9542959830442
6271.0,731.9057316348875
6271.1,732.4267881501877
6271.2,732.4267881501877
6271.3,732.8642439087884
6271.4,733.3859829584965
6271.5,732.355787851779
6271.61,732.4267881501877
6271.71,732.2771771804607
6271.81,731.9180281971472
6271.91,731.3966092346888
6272.01,731.9057316348875
6272.11,731.469069749364
6272.21,732.4267881501877
6272.31,731.9057316348875
6272.41,732.4267881501877
6272.51,732.4267881501877
6272.61,732.4267881501877
6272.72,732.9542959830442
6272.82,731.6391209041296
6272.92,731.3966092346888
6273.02,732.4267881501877
6273.12,732.4336147392472
6273.22,731.9057316348875
6273.32,731.9057316348875
6273.42,732.4336147392472
6273.52,731.9200104845614
6273.62,731.9904370960047
6273.72,731.469069749364
6273.82,731.469069749364
6273.93,731.9057316348875
6274.03,731.469069749364
6274.13,732.9433811693779
6274.23,730.9486986102377
6274.33,731.2522044245119
6274.43,731.469069749364
6274.53,731.469069749364
6274.63,731.469069749364
6274.73,731.9057316348875
6274.83,730.9486986102377
6274.93,731.9904370960047
6275.04,730.9596432088437
6275.14,730.9486986102377
6275.24,730.4389091498343
6275.34,730.9486986102377
6275.44,731.469069749364
6275.54,731.469069749364
6275.64,730.4389091498343
6275.74,731.3856711749281
6275.84,730.7598149516812
6275.94,730.9486986102377
6276.04,730.9486986102377
6276.14,730.4389091498343
6276.25,731.469069749364
6276.35,730.4389091498343
6276.45,730.717883203782
6276.55,730.4389091498343
6276.65,730.4389091498343
6276.75,730.4389091498343
6276.85,730.9486986102377
6276.95,730.9486986102377
6277.05,731.0848684780644
6277.15,731.4882090642336
6277.25,730.9596432088437
6277.35,730.7888639833772
6277.46,730.9596432088437
6277.56,730.9596432088437
6277.66,730.4389091498343
6277.76,730.4389091498343
6277.86,730.9596432088437
6277.96,731.4882090642336
6278.06,731.4882090642336
6278.16,730.9596432088437
6278.27,730.9596432088437
6278.36,730.9596432088437
6278.46,730.4389091498343
6278.57,730.4389091498343
6278.67,730.9596432088437
6278.77,730.4389091498343
6278.87,731.4882090642336
6278.97,730.9596432088437
6279.07,730.6218280022428
6279.17,729.9812316280576
6279.27,728.9650197368869
6279.37,728.9732505380427
6279.47,733.0279667243262
6279.57,730.9596432088437
6279.67,731.469069749364
6279.78,731.9972677544637
6279.88,731.9972677544637
6279.98,731.9972677544637
6280.08,731.469069749364
6280.18,731.469069749364
6280.28,730.9596432088437
6280.38,731.469069749364
6280.48,730.9596432088437
6280.58,731.469069749364
6280.68,731.469069749364
6280.78,731.469069749364
6280.88,731.469069749364
6280.99,730.4389091498343
6281.09,731.469069749364
6281.19,731.469069749364
6281.29,731.9972677544637
6281.39,730.9486986102377
6281.49,730.4293258077745
6281.59,731.9795079098868
6281.69,731.469069749364
6281.79,731.9795079098868
6281.89,732.5005119452136
6281.99,731.9795079098868
6282.1,730.4389091498343
6282.2,730.9486986102377
6282.3,730.4389091498343
6282.4,730.4389091498343
6282.5,730.9486986102377
6282.6,730.4211114145045
6282.7,729.4744683674679
6282.8,729.3908417302756
6282.9,730.4211114145045
6283.0,730.0027397208862
6283.1,730.4389091498343
6283.2,731.9795079098868
6283.31,731.9795079098868
6283.41,730.9486986102377
6283.51,730.4211114145045
6283.61,730.9486986102377
6283.71,730.9486986102377
6283.81,708.7785267627681
6283.91,809.647454142851
6284.01,885.8047188856018
6284.11,1083.0540152734766
6284.21,691.1772565702665
6284.31,873.4506282555415
6284.41,988.3288926263363
6284.52,673.992581561548
6284.62,1004.0703451786434
6284.72,951.0622707061418
6284.82,768.777601130522
6284.92,837.0376335625538
6285.02,814.1117859360593
6285.12,728.4142478772269
6285.22,1061.35715006778
6285.32,767.3056757251311
6285.42,1012.3107230490053
6285.52,1057.0548708558133
6285.63,686.0881867515283
6285.73,1106.5486884904794
6285.83,1095.4355298236405
6285.93,865.0075144182275
6286.03,1139.4744402574372
6286.13,648.8898211561035
6286.23,930.9011762802752
6286.33,1000.7766983698211
6286.43,723.1514364225518
6286.53,985.8316286263085
6286.63,1045.545790484568
6286.73,821.2606163697368
6286.84,1019.7793879070119
6286.94,769.8064691855999
6287.04,856.3089395773
6287.14,979.7423130599188
6287.24,711.9690717660351
6287.34,899.3030634886106
6287.44,1066.9465778566423
6287.54,818.6159050494927
6287.64,1106.4311998493174
6287.74,793.534256997194
6287.84,1008.2018647076586
6287.95,866.5840986309407
6288.05,621.7467330030773
6288.15,1002.7143162436647
6288.25,866.5396701825024
6288.35,703.3846742714828
6288.45,982.6586385922632
6288.55,902.4998614958342
6288.65,972.7887746062862
6288.75,990.3469089162645
6288.85,749.4658097605254
6288.95,819.6041727565813
6289.05,1030.5018195034884
6289.16,781.0262479584153
6289.26,804.4886574713157
6289.36,693.0522094562409
6289.46,720.41446404136
6289.56,722.1907206083482
6289.66,725.4660570970912
6289.76,941.1045644132421
6289.86,1076.9596092704685
6289.96,682.0835725920981
6290.06,1173.5267359544903
6290.16,818.6824781317846
6290.27,791.5004737838127
6290.37,934.3992722599905
6290.47,1182.4965116227615
6290.57,787.7835997277425
6290.67,1054.8303181080832
6290.77,1266.334473983868
6290.87,1049.0243085839336
6290.97,1264.8059139646684
6291.07,821.1912079412443
6291.17,1029.6509117171702
6291.27,966.3317235815039
6291.37,725.9111515881265
6291.48,1082.400572801031
6291.58,755.7545897975083
6291.68,800.2275387722232
6291.78,1056.255650872458
6291.88,827.7076778670112
6291.98,927.0318225390108
6292.08,863.7993485874243
6292.18,851.9612667251956
6292.28,728.1996173978757
6292.38,763.985129991503
6292.48,753.887259475845
6292.58,746.4777290716717
6292.69,742.9019155268034
6292.79,752.2379942544779
6292.89,745.5601920703652
6292.99,1050.6026841770395
6293.09,677.3042152533823
6293.19,724.0400541406532
6293.29,1011.7395910015581
6293.39,811.0739793631651
6293.49,886.9334811585364
6293.59,1102.827275687358
6293.69,775.6893708179841
6293.8,898.1547750805537
6293.9,1034.5641594410663
6294.0,693.8710254795195
6294.1,1186.9553487810736
6294.2,1037.24972885029
6294.3,887.8428915072757
6294.4,1004.3440645515858
6294.5,701.074175818793
6294.6,871.0906956224478
6294.7,989.2775141485831
6294.8,706.3186249845037
6294.9,1034.2968626076365
6295.01,1054.1479971996341
6295.11,928.5397137441133
6295.21,1086.9682608061746
6295.31,1007.0754688701339
6295.41,891.2379031437117
6295.51,838.0393256639096
6295.61,841.2573922409241
6295.71,913.0372391091176
6295.81,799.7149492162816
6295.91,682.0593815790528
6296.01,725.1579138367035
6296.11,812.685671093074
6296.22,652.4458790053328
6296.32,1224.508064489573
6296.42,603.9254920931886
6296.52,1042.9966442899038
6296.62,935.3026248225758
6296.72,737.5486424636683
6296.82,1056.656933954758
6296.92,1218.7768458581743
6297.02,836.2021286746404
6297.12,958.6440154699065
6297.22,896.5634389155069
6297.33,1076.1000700520653
6297.43,664.1046604263518
6297.53,951.0793868021743
6297.63,1105.0361985021125
6297.73,1285.1127309091596
6297.83,767.2118351537598
6297.93,1236.1735315076116
6298.03,825.1702854562808
6298.13,959.1470168853157
6298.23,741.7337797350206
6298.33,945.586590429454
6298.43,1092.4376412409085
6298.54,892.6667911376562
6298.64,949.6673101670922
6298.74,1123.964857101858
6298.84,961.606468364268
6298.94,922.5757421480363
6299.04,829.736102625407
6299.14,908.3606112112084
6299.24,1301.8751860297514
6299.34,918.5161947401907
6299.44,981.3047436958612
6299.54,1217.6654319983709
6299.64,957.9269283196918
6299.75,924.1282378544657
6299.85,1116.129920752956
6299.95,1001.7085404447743
6300.05,976.6949370197432
6300.15,873.3157745260107
6300.25,905.2269506261363
6300.35,1208.092484223749
6300.45,933.904170672773
6300.55,846.611481141143
6300.65,1217.712199166946
6300.75,927.7742182233778
6300.86,915.0469933287579
6300.96,855.101748331741
6301.06,957.1828456465358
6301.16,1157.287345476481
6301.26,900.871244962342
6301.36,947.8934539282355
