T_FR_HIP,T_FR_THIGH,T_FR_CALF,T_FL_HIP,T_FL_THIGH,T_FL_CALF,T_RR_HIP,T_RR_THIGH,T_RR_CALF,T_RL_HIP,T_RL_THIGH,T_RL_CALF,Environment
6.238192989612534e-06,2.8925821309800638e-05,6.692415761432752e-06,6.238192989612534e-06,2.8925821309800638e-05,6.692415761432752e-06,6.238192989612534e-06,2.8925821309800638e-05,6.692415761432752e-06,6.238192989612534e-06,2.8925821309800638e-05,6.692415761432752e-06,Corridor
1.3789531608134727e-05,9.790684757982488e-05,2.3984361638702036e-05,1.3789531608134727e-05,9.790684757982488e-05,2.3984361638702036e-05,1.3789531608134727e-05,9.790684757982488e-05,2.3984361638702036e-05,1.3789531608134727e-05,9.790684757982488e-05,2.3984361638702036e-05,Corridor
1.8560950634583722e-05,0.00022224152970722302,5.4548828492623824e-05,1.8560950634583722e-05,0.00022224152970722302,5.4548828492623824e-05,1.8560950634583722e-05,0.00022224152970722302,5.4548828492623824e-05,1.8560950634583722e-05,0.00022224152970722302,5.4548828492623824e-05,Corridor
4.991797881451522e-05,0.0006438006935177106,0.00015813478288483017,4.991797881451522e-05,0.0006438006935177106,0.00015813478288483017,4.991797881451522e-05,0.0006438006935177106,0.00015813478288483017,4.991797881451522e-05,0.0006438006935177106,0.00015813478288483017,Corridor
0.00010010881466774991,0.0012781336364520808,0.00031396016627179235,0.00010010881466774991,0.0012781336364520808,0.00031396016627179235,0.00010010881466774991,0.0012781336364520808,0.00031396016627179235,0.00010010881466774991,0.0012781336364520808,0.00031396016627179235,Corridor
9.394216235845241e-05,0.0009230717704580995,0.00022549212076429943,9.394216235845241e-05,0.0009230717704580995,0.00022549212076429943,9.394216235845241e-05,0.0009230717704580995,0.00022549212076429943,9.394216235845241e-05,0.0009230717704580995,0.00022549212076429943,Corridor
0.00016111076704080295,0.0020639093153852427,0.0005067271777405519,0.00016111076704080295,0.0020639093153852427,0.0005067271777405519,0.00016111076704080295,0.0020639093153852427,0.0005067271777405519,0.00016111076704080295,0.0020639093153852427,0.0005067271777405519,Corridor
0.0010050253918222486,0.007277156049251437,0.0017851415402148857,0.0010050253918222486,0.007277156049251437,0.0017851415402148857,0.0010050253918222486,0.007277156049251437,0.0017851415402148857,0.0010050253918222486,0.007277156049251437,0.0017851415402148857,Corridor
0.000432582990456817,0.0024740196939255243,0.0005941454141388412,0.000432582990456817,0.0024740196939255243,0.0005941454141388412,0.000432582990456817,0.0024740196939255243,0.0005941454141388412,0.000432582990456817,0.0024740196939255243,0.0005941454141388412,Corridor
0.0018861807865789223,0.014475011818584595,0.003551151751543805,0.0018861807865789223,0.014475011818584595,0.003551151751543805,0.0018861807865789223,0.014475011818584595,0.003551151751543805,0.0018861807865789223,0.014475011818584595,0.003551151751543805,Corridor
