jmag,angular_v_mag,Environment
18.40164873,0.172139355,Corridor
34.6776302,0.773705805,Corridor
19.83082893,1.984799261,Corridor
47.8659911,1.87523341,Corridor
19.87935286,0.746409392,Corridor
9.628547808,0.273009491,Corridor
9.648103567,0.021623692,Corridor
7.692084816,0.053255788,Corridor
19.68795958,0.465887474,Corridor
15.98372398,1.529784094,Corridor
28.69686796,0.760524493,Corridor
21.60965907,0.271127511,Corridor
15.45143426,0.082039013,Corridor
34.41202149,0.04934109,Corridor
13.5065859,0.102939544,Corridor
14.36921756,0.21256056,Corridor
11.80773497,0.388820626,Corridor
23.67263729,0.189129094,Corridor
29.37253219,0.073357446,Corridor
20.45341483,0.33065117,Corridor
15.987531,0.261018419,Corridor
8.695804805,0.236162654,Corridor
22.10431211,0.20198085,Corridor
28.83956011,0.087211375,Corridor
16.68554191,0.109351374,Corridor
10.42459162,0.203897025,Corridor
10.81445019,0.093628934,Corridor
16.98299263,0.186161068,Corridor
11.68822288,0.166796595,Corridor
20.18974604,0.20644983,Corridor
11.89114344,0.328865226,Corridor
41.82610427,0.10616779,Corridor
23.75936986,0.191073595,Corridor
34.87997003,0.232839713,Corridor
26.3733321,0.140624846,Corridor
19.85623667,0.178123257,Corridor
11.74410265,0.312357467,Corridor
25.23834244,0.061299604,Corridor
24.58117686,0.144677585,Corridor
9.338426827,0.069349272,Corridor
27.71206241,0.168040929,Corridor
7.986157346,0.218176624,Corridor
15.41753616,0.134929036,Corridor
20.89464031,0.125117238,Corridor
17.26883116,0.119127253,Corridor
13.85431775,0.088402447,Corridor
7.571178355,0.142496929,Corridor
7.940829403,0.531519866,Corridor
15.00843879,0.408231632,Corridor
12.97054947,0.134666962,Corridor
16.0411582,0.163635855,Corridor
24.1875728,0.18895195,Corridor
13.44415628,0.126368885,Corridor
12.88101501,0.157346469,Corridor
11.24657287,0.125754695,Corridor
24.30105262,0.277911014,Corridor
26.22417833,0.174852692,Corridor
5.004647376,0.336199385,Corridor
11.88869237,0.226839783,Corridor
24.54756839,0.091058939,Corridor
25.19054709,0.103217725,Corridor
12.45899659,0.214108734,Corridor
7.301054839,0.161700128,Corridor
13.14197854,0.298179892,Corridor
18.19768814,0.055566012,Corridor
27.3606671,0.146833264,Corridor
28.30176844,0.277916122,Corridor
22.78245369,0.182648546,Corridor
21.82301414,0.139309584,Corridor
12.96206478,0.112588313,Corridor
9.441479113,0.146405291,Corridor
26.22182599,0.16314042,Corridor
9.307674599,0.130548091,Corridor
4.74345144,0.224530324,Corridor
10.52577742,0.191695269,Corridor
23.05306671,0.171026618,Corridor
21.1003976,0.138422409,Corridor
24.57727829,0.27345513,Corridor
22.87507133,0.092591004,Corridor
31.8663357,0.116640855,Corridor
14.15274673,0.217392006,Corridor
16.30802987,0.162793452,Corridor
20.45882125,0.194960327,Corridor
12.82555002,0.146511608,Corridor
11.7309933,0.15937271,Corridor
28.53872723,0.374674319,Corridor
29.93102922,0.202578102,Corridor
10.08130565,0.316185101,Corridor
20.70926257,0.27482139,Corridor
27.22963435,0.095803752,Corridor
44.26009183,0.192713441,Corridor
5.779072355,0.147295727,Corridor
14.07554132,0.187231441,Corridor
17.97876866,0.106377479,Corridor
9.011290918,0.25821261,Corridor
24.6713702,0.055362408,Corridor
11.76613258,0.317628399,Corridor
11.74608995,0.296856649,Corridor
28.31478221,0.098181605,Corridor
28.1312958,0.232064949,Corridor
16.08613779,0.216583564,Corridor
8.798907342,0.153095309,Corridor
4.186544667,0.068061282,Corridor
5.111349943,0.084908118,Corridor
11.27309279,0.167891232,Corridor
19.05867166,0.19293141,Corridor
5.051457675,0.103359465,Corridor
4.792255086,0.138991315,Corridor
19.34371069,0.201249826,Corridor
8.809454926,0.152322481,Corridor
21.62537581,0.18761111,Corridor
28.20443143,0.268018302,Corridor
27.95764712,0.076984632,Corridor
34.35801354,0.119930218,Corridor
23.41628784,0.129118576,Corridor
16.4769161,0.079011614,Corridor
12.41751399,0.195053284,Corridor
11.23584825,0.137271792,Corridor
28.34942649,0.045927537,Corridor
25.26353808,0.254716235,Corridor
20.0146348,0.105621289,Corridor
12.8336215,0.214993154,Corridor
24.51924931,0.11737921,Corridor
16.43898827,0.125700846,Corridor
15.35268726,0.040649982,Corridor
12.67396885,0.138893298,Corridor
15.57117419,0.189788864,Corridor
23.30886805,0.108896271,Corridor
11.92796314,0.126771856,Corridor
8.879067366,0.273373747,Corridor
10.33647699,0.21482584,Corridor
37.45902088,0.172793281,Corridor
19.54768071,0.16837257,Corridor
13.84713485,0.219902014,Corridor
30.18262577,0.111213482,Corridor
33.74931904,0.107924822,Corridor
15.69482265,0.140736396,Corridor
14.8399282,0.068153908,Corridor
12.19809537,0.178407048,Corridor
10.31930775,0.102224434,Corridor
8.661528826,0.144773352,Corridor
16.71551828,0.139696154,Corridor
17.7219982,0.266081874,Corridor
11.67857838,0.491804822,Corridor
42.63620298,0.419723258,Corridor
29.17148868,0.089899956,Corridor
31.40183902,0.097544637,Corridor
19.3377068,0.190712561,Corridor
13.24639867,0.099141312,Corridor
17.57413796,0.04864808,Corridor
12.03884678,0.096415471,Corridor
15.17057494,0.144077457,Corridor
11.26161865,0.127696349,Corridor
6.981556377,0.103936107,Corridor
8.886882739,0.096541137,Corridor
25.89372929,0.276015786,Corridor
4.609618939,0.124458907,Corridor
28.10914998,0.256243375,Corridor
21.75329493,0.29073958,Corridor
7.68409418,0.190147314,Corridor
15.70179047,0.107662601,Corridor
3.007282908,0.143392337,Corridor
11.85365117,0.053764324,Corridor
12.90601649,0.096096753,Corridor
6.366830471,0.207362083,Corridor
24.68418274,0.145716504,Corridor
14.98351749,0.238001,Corridor
13.28762585,0.119027726,Corridor
23.54857321,0.225000801,Corridor
40.44053664,0.297408033,Corridor
20.32455304,0.153343608,Corridor
26.32520924,0.149962226,Corridor
22.92646061,0.120426101,Corridor
