jmag,angular_vel_mag,Environment
12.41271539,0.517673743,Corridor
5.120051184,1.221583686,Corridor
5.769111417,1.745754164,Corridor
7.420705549,1.017674097,Corridor
10.49855911,0.287112092,Corridor
8.571822323,0.125317315,Corridor
6.920902708,0.049294627,Corridor
11.69698415,0.415016405,Corridor
9.535991733,1.655419035,Corridor
8.694811591,2.187401547,Corridor
13.6093583,1.310436333,Corridor
3.013778592,0.435181929,Corridor
5.683703399,0.106108675,Corridor
11.24661516,0.090395329,Corridor
15.64517613,0.864329187,Corridor
18.37016406,1.708917573,Corridor
12.62078082,1.051408009,Corridor
9.943061592,0.257101272,Corridor
15.55923592,0.130304655,Corridor
8.993326879,0.133626562,Corridor
7.809089949,0.0581301,Corridor
9.507818472,0.206849911,Corridor
8.110160528,0.181895949,Corridor
20.97739253,0.34396652,Corridor
4.433747746,0.118537059,Corridor
2.510882381,0.209332776,Corridor
12.6091432,0.177598156,Corridor
9.640041434,0.174566149,Corridor
7.430893888,0.072070385,Corridor
11.14237998,0.06809153,Corridor
5.923477032,0.071354999,Corridor
8.563801249,0.125408582,Corridor
12.42831849,0.103856702,Corridor
7.005167108,0.161259151,Corridor
14.68668921,0.216851587,Corridor
26.85501916,0.051718012,Corridor
23.82823097,0.03289696,Corridor
19.48014033,0.16913084,Corridor
18.92814351,0.273437856,Corridor
38.45861937,0.220356133,Corridor
17.56395455,0.175208994,Corridor
17.3231605,0.187966067,Corridor
14.23441775,0.039043347,Corridor
9.054314739,0.165706033,Corridor
14.81557615,0.542285196,Corridor
9.040723644,0.663335602,Corridor
12.00925015,0.30186407,Corridor
4.193964502,0.087368463,Corridor
15.95230178,0.140968268,Corridor
17.35293096,0.19039013,Corridor
4.323629454,0.063813945,Corridor
16.75438194,0.12375339,Corridor
22.09199688,0.163282118,Corridor
15.46410669,0.182511865,Corridor
12.24512263,0.269412252,Corridor
14.91439271,0.02028315,Corridor
6.976418735,0.259618956,Corridor
11.6250389,0.116534697,Corridor
10.33507998,0.070645027,Corridor
16.48079723,0.332049955,Corridor
6.769479643,0.093284239,Corridor
9.190442764,0.10704055,Corridor
13.98654915,0.166644889,Corridor
33.08068429,0.287488159,Corridor
18.93992099,0.193871244,Corridor
22.11869065,0.303710928,Corridor
13.88241387,0.256284049,Corridor
16.12599014,0.427614298,Corridor
11.39035379,0.13369415,Corridor
7.404152624,0.073257968,Corridor
21.90178646,0.106662548,Corridor
12.15282579,0.203143729,Corridor
10.9536505,0.144210725,Corridor
12.45072316,0.231199735,Corridor
20.68027739,0.197636572,Corridor
14.15060776,0.202461704,Corridor
12.41424427,0.124788536,Corridor
13.27344921,0.077987595,Corridor
4.942330493,0.182097449,Corridor
22.89003124,0.111356638,Corridor
15.13504424,0.02192234,Corridor
13.17979433,0.17023611,Corridor
25.66229217,0.099533078,Corridor
12.80263967,0.132797548,Corridor
11.29057316,0.160370954,Corridor
12.84489141,0.171682912,Corridor
32.31585502,0.156761293,Corridor
10.77193853,0.133561861,Corridor
5.287693653,0.242499404,Corridor
10.5580305,0.242533059,Corridor
13.10874245,0.189277737,Corridor
6.077892626,0.14282187,Corridor
24.2583667,0.216461295,Corridor
2.522651376,0.056821964,Corridor
21.25082039,0.180207335,Corridor
5.292638434,0.11469872,Corridor
23.4060565,0.194848882,Corridor
7.639459753,0.084391865,Corridor
29.57202988,0.300148835,Corridor
21.22041294,0.071795643,Corridor
12.81444851,0.231921209,Corridor
23.89155768,0.109705844,Corridor
15.54010382,0.030985992,Corridor
19.45321424,0.138480051,Corridor
21.43201102,0.142829387,Corridor
8.709158565,0.139393909,Corridor
10.54070894,0.1840375,Corridor
14.15302831,0.144467937,Corridor
32.10588754,0.241176526,Corridor
17.64201749,0.056600207,Corridor
8.657906335,0.281652598,Corridor
14.05120152,0.153718083,Corridor
17.86031865,0.204202471,Corridor
17.95315918,0.036512122,Corridor
22.12645044,0.028101058,Corridor
21.39333102,0.194996843,Corridor
9.319810297,0.193967348,Corridor
8.414795312,0.100525486,Corridor
19.70643443,0.120149445,Corridor
10.09393762,0.176599529,Corridor
9.101319365,0.143709416,Corridor
17.69491997,0.120141432,Corridor
17.09504879,0.148023647,Corridor
3.550081971,0.055825349,Corridor
8.298879567,0.093464759,Corridor
21.5974885,0.310593558,Corridor
6.323777523,0.072637833,Corridor
15.54083783,0.076401638,Corridor
25.08419306,0.11983639,Corridor
8.304783818,0.242994006,Corridor
16.45197986,0.209546095,Corridor
12.68571182,0.231773452,Corridor
19.55998467,0.078349496,Corridor
15.18021669,0.071708727,Corridor
14.38527417,0.079292184,Corridor
12.74032216,0.071172825,Corridor
10.75404362,0.092100491,Corridor
19.32637348,0.237949603,Corridor
1.341097285,0.156497103,Corridor
16.29297299,0.077099527,Corridor
11.41817669,0.06356579,Corridor
30.69438989,0.238591592,Corridor
14.23400769,0.13816963,Corridor
19.36441826,0.174630109,Corridor
19.36488201,0.065699815,Corridor
10.73347895,0.095569361,Corridor
21.16484,0.092011648,Corridor
9.262901491,0.034603849,Corridor
15.11135841,0.210050111,Corridor
6.899422966,0.134422045,Corridor
8.403118838,0.063943231,Corridor
8.505230532,0.198127196,Corridor
22.51156189,0.166462513,Corridor
8.013276263,0.036425601,Corridor
1.64300073,0.327569042,Corridor
9.043184661,0.033461208,Corridor
14.69201416,0.23274349,Corridor
5.171023328,0.11215061,Corridor
10.33272297,0.081387372,Corridor
12.92355997,0.110226425,Corridor
9.016304937,0.171853327,Corridor
13.71187921,0.168515903,Corridor
25.51161103,0.095321531,Corridor
23.26024749,0.191600628,Corridor
28.69174182,0.200343675,Corridor
20.03370774,0.14440738,Corridor
7.045422339,0.213484915,Corridor
20.68956396,0.224223669,Corridor
11.27166251,0.091986581,Corridor
11.75016125,0.03654673,Corridor
27.16418,0.093329204,Corridor
7.403803972,0.138605874,Corridor
7.059787292,0.110610224,Corridor
26.08786863,0.115687167,Corridor
39.6252685,0.11297141,Corridor
22.54283374,0.151511696,Corridor
30.97283518,0.240494058,Corridor
34.15653672,0.228283246,Corridor
8.439935007,0.164731462,Corridor
36.75055249,0.375683051,Corridor
19.0160539,0.051052785,Corridor
6.295985605,0.184303407,Corridor
23.05776197,0.1506097,Corridor
11.35486289,0.071136102,Corridor
14.99371429,0.135700619,Corridor
10.12354158,0.099911947,Corridor
18.24556568,0.20614929,Corridor
10.06850885,0.972742633,Corridor
5.291065196,1.569944722,Corridor
8.24965347,2.060719165,Corridor
8.02734819,1.642997672,Corridor
25.03523367,0.525150426,Corridor
13.64334784,0.171611954,Corridor
9.076128568,0.137656224,Corridor
16.96938843,0.162081172,Corridor
10.01327409,0.1954999,Corridor
23.75477037,0.109581746,Corridor
19.4159447,0.151420551,Corridor
35.72419325,0.368814245,Corridor
26.60048776,0.074873148,Corridor
9.490017891,0.392290545,Corridor
40.88794704,0.761470245,Corridor
23.64233844,0.538781419,Corridor
11.45435172,0.145513308,Corridor
23.30701182,0.137552262,Corridor
14.19058972,0.114668197,Corridor
16.17152598,0.15440177,Corridor
24.60184966,0.150751707,Corridor
21.40038568,0.217774243,Corridor
9.230424242,0.096987865,Corridor
15.05674628,0.138263364,Corridor
12.84303853,0.120392949,Corridor
11.43717466,0.200582784,Corridor
7.538381411,0.134331609,Corridor
17.31502306,0.207010972,Corridor
18.35926838,0.106862334,Corridor
18.44268142,0.220966994,Corridor
10.82260317,0.170629022,Corridor
22.12222692,0.160747373,Corridor
26.28597078,0.136676868,Corridor
17.55799998,0.111379692,Corridor
4.941997849,0.125059324,Corridor
25.46572077,0.22741614,Corridor
25.74601083,0.163052548,Corridor
28.57598835,0.258069218,Corridor
29.36043894,0.182138499,Corridor
36.67504952,0.270736427,Corridor
20.29577566,0.181642116,Corridor
32.99059297,0.244505495,Corridor
19.74603403,0.067034017,Corridor
17.14634411,0.052624323,Corridor
24.70097354,0.233107489,Corridor
15.77111061,0.127561276,Corridor
13.26782574,0.049152929,Corridor
9.065551373,0.095726897,Corridor
23.76275439,0.230246481,Corridor
4.322031454,0.153234607,Corridor
5.403154263,0.138609134,Corridor
6.879319526,0.117980937,Corridor
9.561228227,0.212341615,Corridor
9.67281027,0.048249163,Corridor
7.73306125,0.12812118,Corridor
5.96954465,0.07061226,Corridor
3.336240027,0.124374855,Corridor
19.47559408,0.2678177,Corridor
11.66040887,0.078958187,Corridor
8.72398344,0.057541775,Corridor
20.83172494,0.105168806,Corridor
8.600572645,0.260059677,Corridor
14.28723147,0.218474015,Corridor
7.513905074,0.284718982,Corridor
13.90154224,0.08929949,Corridor
7.48401613,0.052297125,Corridor
18.07134631,0.215228586,Corridor
6.691779076,0.184671459,Corridor
11.00407499,0.116749021,Corridor
14.99161257,0.118960724,Corridor
23.67179283,0.206046173,Corridor
24.35435263,0.156772134,Corridor
12.9905278,0.195388572,Corridor
23.53329476,0.180589009,Corridor
28.73422621,0.184454521,Corridor
10.85928065,0.063696219,Corridor
15.21065821,0.045897426,Corridor
20.08121408,0.177394053,Corridor
10.21238716,0.166244162,Corridor
21.55933847,0.209542138,Corridor
13.31376576,0.130949581,Corridor
33.95462329,0.268205299,Corridor
34.02653466,1.438874362,Corridor
22.24299502,2.089110733,Corridor
21.12391126,1.338762343,Corridor
7.541426419,0.4478639,Corridor
12.59136168,0.115568014,Corridor
17.18300716,0.078158706,Corridor
15.9025104,0.191958223,Corridor
17.94869305,1.065644989,Corridor
16.37317526,1.255854571,Corridor
4.218950682,0.463936271,Corridor
10.74744428,0.170483378,Corridor
21.18672198,0.033866138,Corridor
18.17999373,0.036708835,Corridor
13.49158048,0.246306278,Corridor
12.05011987,0.218215909,Corridor
29.57503816,0.209065519,Corridor
16.09050129,0.195392089,Corridor
12.8307987,0.331300348,Corridor
10.82378498,0.055184954,Corridor
24.0745073,0.350390765,Corridor
9.298539904,0.114473135,Corridor
13.80574075,0.081782436,Corridor
17.36950911,0.102107448,Corridor
12.64235747,0.186989575,Corridor
10.76137766,0.114508541,Corridor
17.16363088,0.203533776,Corridor
6.526563876,0.082424942,Corridor
24.47302652,0.19987634,Corridor
23.10790065,0.069485916,Corridor
34.09222525,0.287838877,Corridor
24.92718578,0.134507452,Corridor
18.79647371,0.168533071,Corridor
18.88234046,0.130227519,Corridor
26.399999,0.268313033,Corridor
19.03803063,0.122246101,Corridor
8.047801014,0.244769174,Corridor
19.96694531,0.144051634,Corridor
24.45118772,0.102575157,Corridor
14.44824487,0.136633092,Corridor
16.62542635,0.179037256,Corridor
8.691085809,0.079270237,Corridor
13.62930555,0.197618362,Corridor
10.98034529,0.119525577,Corridor
10.56542734,0.057244126,Corridor
13.19396906,0.096420707,Corridor
7.754284807,0.352011553,Corridor
7.838227451,0.517511576,Corridor
9.519788244,0.250967164,Corridor
9.131961648,0.119388369,Corridor
20.66800612,0.211438087,Corridor
2.940010639,0.119822884,Corridor
18.20970134,0.144473774,Corridor
9.732938412,0.111258803,Corridor
17.78240587,0.221537684,Corridor
20.08833632,0.099229997,Corridor
10.06232053,0.322974513,Corridor
13.48684839,0.12626871,Corridor
5.089000573,0.168878853,Corridor
26.1252753,0.09846454,Corridor
3.110613094,0.166451737,Corridor
12.30012777,0.242846187,Corridor
8.840460378,0.178622921,Corridor
33.61230983,0.219392045,Corridor
7.892299478,0.163684073,Corridor
19.86170127,0.225035136,Corridor
14.04833459,0.086361232,Corridor
17.59509032,0.195680391,Corridor
12.81762341,0.039131149,Corridor
19.82972513,0.109355827,Corridor
20.17317464,0.175093342,Corridor
13.66947309,0.115731964,Corridor
9.564166887,0.168687888,Corridor
11.12137919,0.176052014,Corridor
30.40881839,0.201747164,Corridor
9.183335808,0.198699161,Corridor
5.811397244,0.117093552,Corridor
4.414074463,0.138907262,Corridor
12.33611924,0.02890567,Corridor
5.246436693,0.131765252,Corridor
24.76100437,0.261912024,Corridor
5.617783465,0.141108884,Corridor
16.27979047,0.129484973,Corridor
18.97472504,0.24276034,Corridor
19.2874802,0.237544952,Corridor
28.32096994,0.125032811,Corridor
14.95530499,0.259252331,Corridor
26.40152931,0.345698452,Corridor
17.0749333,0.105116732,Corridor
31.56661084,0.182970776,Corridor
11.11038115,0.17083486,Corridor
11.95295959,0.143615744,Corridor
14.94897239,0.191971004,Corridor
27.99710443,0.157466796,Corridor
11.36505616,0.193690162,Corridor
12.20724234,0.227565209,Corridor
25.07479,0.219310877,Corridor
12.57787516,0.19323576,Corridor
20.93037864,0.224710559,Corridor
14.48671284,0.23629122,Corridor
6.71127149,0.148223538,Corridor
9.258672479,0.090897108,Corridor
4.131031868,0.048774646,Corridor
19.33931321,0.137114431,Corridor
10.0764965,0.219387586,Corridor
3.295053636,0.083069722,Corridor
11.84575261,0.072804865,Corridor
19.89767899,0.140058771,Corridor
15.97296095,0.197767193,Corridor
7.070160569,0.176382321,Corridor
26.15590812,0.14919572,Corridor
23.7517483,0.223485205,Corridor
13.35818806,0.069720069,Corridor
10.78831229,0.037142108,Corridor
20.03077036,0.116470779,Corridor
2.808134138,0.130233314,Corridor
17.64967239,0.165677603,Corridor
13.22674091,0.088697894,Corridor
26.80119511,0.189376966,Corridor
11.92879041,0.149241648,Corridor
16.4199875,0.080472893,Corridor
17.53852717,0.230000053,Corridor
20.13710844,0.089805138,Corridor
19.98215168,0.052105659,Corridor
8.80758989,0.038544957,Corridor
20.24115079,0.208197648,Corridor
14.5127091,0.128299205,Corridor
10.43449082,0.100065647,Corridor
14.3372161,0.138138229,Corridor
25.49550113,0.205821783,Corridor
18.00646999,0.164787693,Corridor
22.70528809,0.248699852,Corridor
24.57529207,0.110735596,Corridor
4.921635174,0.193642823,Corridor
18.02967166,0.055075992,Corridor
11.94872167,0.030319963,Corridor
15.07721445,0.108774059,Corridor
9.885672641,0.130818585,Corridor
10.8205717,0.134060763,Corridor
12.75456515,0.116925096,Corridor
13.93305722,0.193137534,Corridor
18.51989158,0.223697546,Corridor
23.45353158,0.20364925,Corridor
34.56815309,0.324533684,Corridor
22.75985158,0.37880397,Corridor
19.76205868,0.10528178,Corridor
15.01155183,0.122644672,Corridor
21.25243072,0.059353296,Corridor
13.13114818,0.097499382,Corridor
7.100505796,0.035621421,Corridor
16.80735432,0.130454205,Corridor
8.298619411,0.150227623,Corridor
6.729046569,0.069036249,Corridor
12.76569999,0.101518306,Corridor
16.60603312,0.150331672,Corridor
19.01271082,0.2000196,Corridor
6.22148291,0.147523892,Corridor
17.58201106,0.244058756,Corridor
10.63195362,0.173682853,Corridor
10.0458824,0.190244175,Corridor
12.21374876,0.068188343,Corridor
7.259388091,0.119497755,Corridor
11.93914441,0.046502835,Corridor
17.94788153,0.14500427,Corridor
8.304198907,0.237967565,Corridor
24.21333607,0.107052727,Corridor
19.71469448,0.208361344,Corridor
17.38208622,0.080415135,Corridor
