T_HIP,T_THIGH,T_CALF,Environment,time,footforce,d_footforce_dt,environment
0.0005514228929000939,0.004466224588319977,0.001085277771452118,Parking,5297.89,976.7072232762488,2543.733232229091,Parking
0.001283117350448718,0.016928817303652224,0.004158999474530614,Parking,5298.0,985.1431368080478,2629.279527277577,Parking
0.0007674100892524598,0.0062089440768992215,0.0015026579174227375,Parking,5298.1,1411.4768861019297,2616.515466184796,Parking
0.0012704421409377598,0.009122936712202942,0.002234287921612257,Parking,5298.2,1460.6929862226355,2531.987327809907,Parking
0.0008240224931969983,0.009711361450760042,0.002380017059785422,Parking,5298.3,947.4819259489861,2380.965964992859,Parking
0.001240019504051898,0.013899187210516323,0.003412885406483674,Parking,5298.4,1321.203565694748,2191.450869876756,Parking
0.0011886098767202066,0.0115724054234203,0.002841444375412218,Parking,5298.5,1018.1659982537228,1968.9230365005403,Parking
0.001706206217707468,0.018064296910390118,0.004431769026497215,Parking,5298.6,932.0627661268312,1712.2698346433795,Parking
0.001421241950232211,0.01080663849040236,0.002629195727994794,Parking,5298.7,1207.6551519898107,1447.3224993936649,Parking
0.0007450219883000948,0.005578103838305262,0.0013433092616225981,Parking,5298.8,1095.0470309534655,1188.2010238802534,Parking
0.005277396447078418,0.024143889781396168,0.005563997383735427,Parking,5298.9,1253.9976076532203,917.6713935014313,Parking
0.0017834903552195313,0.01378350304591595,0.003381098833106117,Parking,5299.0,1544.493444466502,650.6603639580153,Parking
0.0042482083762652705,0.008526592456464723,0.0008807636658988841,Parking,5299.11,893.4640451635421,391.00541617176407,Parking
0.0021699379481458737,0.015387319506193991,0.0037679557916818138,Parking,5299.21,1098.3742531578205,125.23529796349982,Parking
0.0004623209068683803,0.004952815091584548,0.0012163941177398853,Parking,5299.31,1330.549886325199,-130.7728457654237,Parking
0.001445761947937125,0.010067032514468874,0.0024516497853513636,Parking,5299.41,1074.6748345429887,-370.9196433159789,Parking
0.0009388102568653177,0.006159792546849007,0.0014980134987091157,Parking,5299.51,1128.9090501098026,-602.9436214292415,Parking
0.0009294208532469581,0.006562629018529561,0.0016069490049346446,Parking,5299.61,1367.3200064359478,-804.6078093326661,Parking
0.0014054191089960524,0.010443848420537647,0.002553674408430138,Parking,5299.71,963.5398279261735,-979.9820781755836,Parking
0.0022822126876647464,0.017334287561639742,0.004249452892549092,Parking,5299.81,1105.656366146372,-1126.311808299931,Parking
0.0012910012496217002,0.009295456857758087,0.0022793702004813648,Parking,5299.91,1405.9598145039565,-1233.321895795002,Parking
0.0026819693836410735,0.017280622497880475,0.004140140933571837,Parking,5300.01,1010.4404980007482,-1299.0052861532486,Parking
