time,footforce,d_footforce_dt,environment
5466.13,1398.758020531071,1626.0634306553386,Parking
5466.23,1214.2956806313691,1051.2398884890142,Parking
5466.33,997.6041299032397,422.7086656968811,Parking
5466.43,1412.62556963974,-213.25543600534596,Parking
5466.53,1458.3038092249503,-835.919157397993,Parking
5466.63,1259.4216926827964,-1419.6089777953566,Parking
5466.73,1638.0131257105359,-1920.289101682206,Parking
5466.84,1181.0246682413176,-2323.252793640041,Parking
5466.94,1318.9598174319035,-2601.4177017227953,Parking
5467.04,1004.7253356017255,-2722.7161330339272,Parking
5467.14,1123.0730163261871,-2676.7965230292266,Parking
5467.24,1403.8162272890281,-2474.744189469511,Parking
5467.34,1141.2339812676453,-2112.8516371320356,Parking
5467.44,982.3232665472196,-1632.9715905592323,Parking
5467.54,1190.1121795864456,-1072.4715370159086,Parking
5467.64,1118.8856063065607,-459.7258613713882,Parking
5467.74,800.2879844573764,157.4382375428246,Parking
5467.84,893.3028601767712,728.4406032179487,Parking
5467.94,1252.4056850717343,1219.935106670849,Parking
5468.05,954.3049826968315,1600.0746286845479,Parking
5468.15,1550.0564505849457,1836.9230997919349,Parking
5468.25,1479.213980463949,1921.966674861127,Parking
5468.35,1212.1233435587321,1854.8520522098063,Parking
5468.45,1077.7133328286925,1640.7484246343377,Parking
5468.55,1324.4767968742838,1285.9968184212285,Parking
5468.65,1403.0427648507368,803.3397595728236,Parking
5468.75,1113.000898472234,238.62455560904567,Parking
5468.85,1016.0388772089383,-377.1320612430173,Parking
5468.95,1321.054503039144,-1019.4991995485029,Parking
5469.05,1341.3877142720519,-1657.5667201736712,Parking
5469.16,1482.163283852356,-2263.373935248572,Parking
5469.26,1295.223146797493,-2809.3826922138364,Parking
5469.36,1123.7090370732096,-3269.6558515203396,Parking
5469.46,973.1073938677067,-3635.604173670997,Parking
5469.56,1358.0714266930145,-3883.590745707327,Parking
5469.66,1109.2912151459598,-3985.881559883839,Parking
5469.76,1291.4100820421063,-3941.3747487617397,Parking
5469.86,1456.5462574185551,-3751.526850027255,Parking
5469.96,990.9273323170767,-3436.2872502101186,Parking
5470.06,889.5470757638407,-2992.7191421536345,Parking
5470.16,931.3025269700495,-2453.4405267124725,Parking
5470.26,1017.3254149975808,-1853.9534500294146,Parking
5470.37,1360.8629615064112,-1213.5484818440111,Parking
5470.47,938.1678954217097,-575.6361174861429,Parking
5470.57,742.198086766599,22.79433402655559,Parking
5470.67,1229.9439011597237,556.5412437665183,Parking
5470.77,916.6667878787798,993.7861408519954,Parking
5470.87,1261.6318797493982,1314.6202214520943,Parking
5470.97,1296.379188355012,1517.0049391329073,Parking
5471.07,1349.8648080456057,1594.5114306514486,Parking
5471.17,1036.9021168847135,1545.0454341176212,Parking
5471.27,1144.343352691389,1380.5104181950899,Parking
5471.37,1009.2071145210977,1124.0070458100765,Parking
5471.47,1023.4280629335899,798.2429481425978,Parking
5471.58,1272.1018041021716,444.0308044116401,Parking
5471.68,1725.884700668037,81.6487339666952,Parking
5471.78,1007.0208538059179,-266.7541843662979,Parking
5471.88,1312.4919047369397,-570.6402996669058,Parking
5471.98,910.2889651094316,-824.2759762226074,Parking
5472.08,1024.3002489504725,-1015.0249016225164,Parking
5472.18,1274.4928403094307,-1129.0145031027314,Parking
5472.28,1150.9628081080032,-1162.9292034819496,Parking
5472.38,991.1806813526492,-1125.186366796491,Parking
5472.48,1371.1327433913902,-1008.666816201782,Parking
5472.58,1027.2691954886996,-834.6075968762804,Parking
5472.68,827.2182299732036,-613.8253230810755,Parking
5472.79,1392.8984169708858,-346.9504641387462,Parking
5472.89,997.8421718889215,-75.44435832706854,Parking
5472.99,1100.2240680879509,187.09049152506824,Parking
5473.09,1262.026148698988,443.5920457637246,Parking
5473.19,765.6493975704545,678.9966438611546,Parking
5473.29,1197.5199372035524,878.2284772192683,Parking
5473.39,1148.4498247637987,1054.8713339225362,Parking
5473.49,1325.058489275096,1205.3553061047337,Parking
5473.59,1022.5262832807771,1333.6535323268688,Parking
5473.69,1230.5762877611448,1448.2558126383576,Parking
5473.79,1291.9903250411746,1534.724979344429,Parking
5473.9,1253.3574909019374,1598.749645955497,Parking
5474.0,922.9414932702939,1647.5094202256453,Parking
5474.1,973.3872588479186,1689.6830093556837,Parking
5474.2,1432.6224205979745,1709.3289383925637,Parking
5474.3,1000.09090326065,1714.835772385469,Parking
5474.4,1100.6381238556867,1707.8803372662853,Parking
5474.5,1015.3900728291567,1681.210967649173,Parking
5474.6,1547.3991081812087,1626.574163607618,Parking
5474.7,982.8901261076948,1545.1056650840414,Parking
5474.8,1292.4712762765755,1430.5382504557313,Parking
5474.9,1206.6693830540328,1282.9781609584597,Parking
5475.0,1029.2905323571183,1097.931422529492,Parking
5475.11,1343.9051305802802,864.3941112636955,Parking
5475.21,1280.3476090499798,605.0937288810012,Parking
5475.31,968.2690741730834,317.6737199582657,Parking
5475.41,1339.261196266996,10.579157637247398,Parking
5475.51,1170.6049717987703,-295.9871793412679,Parking
5475.61,1254.9127459708104,-613.6801258626255,Parking
5475.71,1386.1222889774192,-931.6156370901048,Parking
5475.81,1111.9918145927816,-1230.4189828613705,Parking
5475.91,931.4456505883744,-1499.0386909633594,Parking
5476.01,1290.8280288249089,-1729.77692642539,Parking
5476.11,1389.5636005595425,-1897.73183203495,Parking
5476.22,1098.8603186938728,-1996.8113688037843,Parking
5476.32,1124.4932191880928,-2021.5922075586227,Parking
5476.42,1512.590162601886,-1968.7175642069506,Parking
5476.52,964.857502432354,-1850.2657485290204,Parking
