angular_v_mag,Environment
0.00989486231586841,Parking Lot
0.004483220522124628,Parking Lot
0.007140597426686702,Parking Lot
0.004244528082131512,Parking Lot
0.00887619513079833,Parking Lot
0.00314239789969378,Parking Lot
0.002512359530401661,Parking Lot
0.004200601077226659,Parking Lot
0.010372834436642475,Parking Lot
0.0023350117772725906,Parking Lot
0.002162332122963674,Parking Lot
0.00035924260604765776,Parking Lot
0.002153866003260139,Parking Lot
0.0029367286238261253,Parking Lot
0.0012213694158605948,Parking Lot
0.0015492502089720147,Parking Lot
0.002783580947268795,Parking Lot
0.0009732783209339589,Parking Lot
0.0036901610547507677,Parking Lot
0.11206295909715216,Parking Lot
0.890207183844862,Parking Lot
0.30705057519731194,Parking Lot
0.23017049664324934,Parking Lot
0.3526540668544742,Parking Lot
0.7325336160335565,Parking Lot
0.15140610312400923,Parking Lot
0.12495406873791662,Parking Lot
0.09850291624926637,Parking Lot
0.14969117093232331,Parking Lot
0.06832043993747414,Parking Lot
0.13454505709032932,Parking Lot
0.11098144547720572,Parking Lot
0.08434140492664322,Parking Lot
0.1337949746717343,Parking Lot
0.0652328134546564,Parking Lot
0.18695032260664862,Parking Lot
0.06484423170213469,Parking Lot
0.10488723130559617,Parking Lot
0.3027444971229979,Parking Lot
0.18029372529469787,Parking Lot
0.07140248331958439,Parking Lot
0.27517283208293974,Parking Lot
0.2838967635825389,Parking Lot
0.059084398061755646,Parking Lot
0.08207552302922,Parking Lot
0.05287667822632201,Parking Lot
0.1300233522375499,Parking Lot
0.14591055868980146,Parking Lot
0.11711941160482321,Parking Lot
0.0956677310739626,Parking Lot
0.09403758871557726,Parking Lot
0.07073501700890444,Parking Lot
0.13220353852843741,Parking Lot
0.15124872447052234,Parking Lot
0.6647127440518951,Parking Lot
1.9518684385024927,Parking Lot
2.7472573354460557,Parking Lot
2.5586396084106657,Parking Lot
0.8625342571416454,Parking Lot
0.2663317559210695,Parking Lot
0.29438895623750905,Parking Lot
0.22706691901763232,Parking Lot
0.10032991079179725,Parking Lot
0.2565129180212178,Parking Lot
0.15647690622903435,Parking Lot
0.12361153433494823,Parking Lot
0.1383633560544119,Parking Lot
0.1876210840028646,Parking Lot
0.17628824089567083,Parking Lot
0.09131042062963052,Parking Lot
0.09425796462416326,Parking Lot
0.1859800757580228,Parking Lot
0.9761392616298359,Parking Lot
0.4041569319831088,Parking Lot
0.19138469976892095,Parking Lot
0.057653420117543916,Parking Lot
0.2541838293139239,Parking Lot
0.1253508120635844,Parking Lot
0.11202176837115196,Parking Lot
0.40781788232578725,Parking Lot
1.1654077646937189,Parking Lot
0.6868484011135864,Parking Lot
0.2769367846592601,Parking Lot
0.17611290588142642,Parking Lot
0.13316384400053966,Parking Lot
0.20970938804393086,Parking Lot
0.25454421389998216,Parking Lot
0.07050115949401205,Parking Lot
0.10610864648085953,Parking Lot
0.2321838729390997,Parking Lot
0.1705596355911917,Parking Lot
0.10885437928259925,Parking Lot
0.3325631019857885,Parking Lot
0.2361816008630862,Parking Lot
0.15271822802586474,Parking Lot
0.10583091680416527,Parking Lot
0.21312637536457105,Parking Lot
0.05809393873279716,Parking Lot
0.15143643039242585,Parking Lot
0.13006034522866713,Parking Lot
0.1701142711120976,Parking Lot
0.16240911666002683,Parking Lot
0.25472655651912307,Parking Lot
0.14994779379614678,Parking Lot
0.15742096293204283,Parking Lot
0.1814881094114155,Parking Lot
0.14667814582093658,Parking Lot
0.12454529024335878,Parking Lot
0.2568514992109058,Parking Lot
0.21058673751518636,Parking Lot
0.12795269539951132,Parking Lot
0.3735767937827508,Parking Lot
0.33401332979987475,Parking Lot
0.1325292031704716,Parking Lot
0.15441868431313469,Parking Lot
0.8664847859235625,Parking Lot
0.4079141765383989,Parking Lot
0.075791304679363,Parking Lot
