index,time,trans_x,trans_y,trans_z,roll,pitch,yaw
315,6268.68,-0.729381,2.39794,-0.0474928,0.0238579,-0.0115659,-2.55444
316,6268.78,-0.737304,2.39914,-0.0450626,0.0288603,-0.0235751,-2.5464
317,6268.88,-0.746816,2.39994,-0.0455689,0.0403909,-0.0374774,-2.54484
318,6268.98,-0.780301,2.3853,-0.0476432,0.0318801,-0.0271164,-2.55562
319,6269.08,-0.820326,2.3661,-0.0522777,0.0401594,-0.0344319,-2.5498
320,6269.19,-0.877479,2.32842,-0.0525018,0.0319489,-0.0276656,-2.55258
321,6269.29,-0.947426,2.28713,-0.0546161,0.0397345,-0.0048357,-2.56214
322,6269.39,-1.019,2.25232,-0.0547683,0.049352,0.000679518,-2.56343
323,6269.49,-1.08791,2.20792,-0.0578269,0.0275464,0.0142004,-2.55427
324,6269.59,-1.13436,2.17418,-0.056964,0.0382313,0.0178887,-2.55776
325,6269.69,-1.17899,2.15186,-0.0539258,0.0431133,0.0256169,-2.56154
326,6269.79,-1.2161,2.12966,-0.0512723,0.0197501,0.0152026,-2.55125
327,6269.89,-1.23607,2.11467,-0.049639,0.0134502,0.0135806,-2.55367
328,6269.99,-1.25556,2.10322,-0.0522898,0.00794905,0.0197899,-2.55658
329,6270.09,-1.26887,2.1012,-0.0506165,0.00897334,0.007106,-2.54822
330,6270.19,-1.27631,2.09758,-0.0488969,0.00207661,0.00878461,-2.55389
331,6270.29,-1.28641,2.09302,-0.0521781,0.00283107,0.00852398,-2.55618
332,6270.4,-1.2949,2.09883,-0.0495714,0.00887796,0.00176011,-2.55141
333,6270.5,-1.29687,2.09888,-0.0478436,0.0121446,-0.003349,-2.55097
334,6270.6,-1.2973,2.10332,-0.0560715,0.0104677,-0.00372504,-2.55172
335,6270.7,-1.29907,2.10323,-0.0557848,0.0111766,-0.00312452,-2.54879
336,6270.8,-1.29866,2.10094,-0.0555476,0.00757222,-0.0020643,-2.54914
337,6270.9,-1.29744,2.10091,-0.0553441,0.00751399,-0.00190642,-2.54626
338,6271,-1.29783,2.10224,-0.055168,0.00923752,-0.00237714,-2.54832
339,6271.1,-1.29822,2.10311,-0.0549824,0.0102581,-0.00253851,-2.54895
340,6271.2,-1.29831,2.10279,-0.0549402,0.00939469,-0.00242354,-2.54863
341,6271.3,-1.29831,2.10301,-0.0549635,0.00871659,-0.00249729,-2.54775
342,6271.4,-1.29857,2.10341,-0.0549617,0.00928352,-0.00246412,-2.54841
343,6271.5,-1.2989,2.10374,-0.0549734,0.00958337,-0.00247073,-2.54837
344,6271.61,-1.29818,2.10293,-0.0550117,0.00926464,-0.00251093,-2.5425
345,6271.71,-1.29812,2.10253,-0.0549998,0.00692053,-0.00253741,-2.53754
346,6271.81,-1.29851,2.10262,-0.0549811,0.00788668,-0.00223823,-2.54183
347,6271.91,-1.29911,2.10349,-0.0549395,0.00877422,-0.00232337,-2.54221
348,6272.01,-1.29918,2.10366,-0.0549272,0.00841304,-0.00239507,-2.5438
349,6272.11,-1.29926,2.10356,-0.054956,0.00787316,-0.00247671,-2.54332
350,6272.21,-1.29997,2.10431,-0.0549278,0.00820574,-0.00247775,-2.54278
351,6272.31,-1.29933,2.10369,-0.055123,0.00844206,-0.00285796,-2.53032
352,6272.41,-1.30037,2.10567,-0.0522935,0.00807791,-0.00347573,-2.51082
353,6272.51,-1.30774,2.10427,-0.0542669,0.00346241,-0.0117537,-2.51434
354,6272.61,-1.31457,2.10901,-0.0533278,0.0150634,-0.00823965,-2.50713
355,6272.72,-1.32499,2.11144,-0.0497077,0.0279358,-0.0129103,-2.50217
356,6272.82,-1.33055,2.11224,-0.0506324,0.022163,-0.0108972,-2.51399
357,6272.92,-1.33403,2.1166,-0.0520656,0.0262628,-0.0051361,-2.50683
358,6273.02,-1.34149,2.11433,-0.0475974,0.03036,-0.00889268,-2.50234
359,6273.12,-1.34169,2.11453,-0.0537527,0.0233206,-0.00374877,-2.50598
360,6273.22,-1.34178,2.11577,-0.0543571,0.019055,-0.00275638,-2.50257
361,6273.32,-1.34163,2.11584,-0.0543481,0.0170145,-0.00209193,-2.5014
362,6273.42,-1.34095,2.11592,-0.0543263,0.0161921,-0.0023908,-2.5017
363,6273.52,-1.34115,2.11625,-0.054274,0.0162025,-0.00235174,-2.50127
364,6273.62,-1.34028,2.11699,-0.0534874,0.0166909,-0.00198911,-2.50196
365,6273.72,-1.34139,2.11642,-0.0542486,0.0165036,-0.0021686,-2.50155
366,6273.82,-1.34146,2.11635,-0.0542202,0.0160709,-0.00208645,-2.50143
367,6273.93,-1.34155,2.1168,-0.0541859,0.0163486,-0.00210465,-2.50164
368,6274.03,-1.34171,2.11712,-0.0541494,0.0165818,-0.00217789,-2.50171
369,6274.13,-1.34157,2.11689,-0.0541282,0.0162574,-0.0021703,-2.50148
370,6274.23,-1.34178,2.11694,-0.0541222,0.0160879,-0.0020024,-2.50162
371,6274.33,-1.34199,2.11708,-0.054079,0.0163848,-0.00198665,-2.50165
372,6274.43,-1.34223,2.11727,-0.0540582,0.016416,-0.0020193,-2.50173
373,6274.53,-1.34238,2.11746,-0.0540402,0.0162056,-0.00199337,-2.50165
